S.N.,SEGEMENT,PARTICULARS,BUDGETED AMOUNT FOR THE YEAR (NPR),VALUE,MONTH_NAME,YEAR
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,BHADRA,2082
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,0.0,BHADRA,2082
E.,OTHER INCOME,Other Income,838269.1790000001,50000.0,BHADRA,2082
A.,CARD SEGMENT,Card Sales,4836000.0,241800.0,ASHWIN,2082
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,460200.0,ASHWIN,2082
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,175000.0,ASHWIN,2082
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,ASHWIN,2082
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,ASHWIN,2082
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,ASHWIN,2082
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,585045.7218627611,ASHWIN,2082
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,219200.0,ASHWIN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,ASHWIN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,0.0,ASHWIN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,0.0,ASHWIN,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,0.0,ASHWIN,2082
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,214436.09864306785,ASHWIN,2082
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,24496.562964601773,ASHWIN,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,ASHWIN,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,0.0,ASHWIN,2082
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,28069.65,ASHWIN,2082
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,9453394.5,ASHWIN,2082
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,0.0,ASHWIN,2082
E.,OTHER INCOME,Interest Income,1754506.1039999998,438626.52599999995,ASHWIN,2082
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,20000.0,ASHWIN,2082
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,250000.0,ASHWIN,2082
E.,OTHER INCOME,API Suite,2000000.0,120000.0,ASHWIN,2082
E.,OTHER INCOME,Merchant POS (VISA and UPI),370000.0,61666.666666666664,ASHWIN,2082
E.,OTHER INCOME,SCT HUB - Real Time Processing (Powered by API),132000.0,22000.0,ASHWIN,2082
E.,OTHER INCOME,SCT HUB - ATM Monitoring,600000.0,100000.0,ASHWIN,2082
E.,OTHER INCOME,Cardless Withdrawal,1000000.0,0.0,ASHWIN,2082
